Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	15:41:03
Device ID	LBE247_ID301XR1000Oct
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,4.500000,0.000000,-4.000000,0.100000,0.000000020,0.000000020,0.000000200,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,1,2,0,0.000000,2e-7s-4p5V-m4V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,2911208151.383,3211303789.338
    1,  0.100,2912055911.474,3196930946.292
    2,  0.200,2921413964.359,3181673560.293
    3,  0.300,2899391127.863,3209242618.742
    4,  0.400,2913752913.753,3194888178.914
    5,  0.500,2914602156.806,3197953309.882
    6,  0.600,2915451895.044,3201024327.785
    7,  0.700,2922267679.719,3215434083.601
    8,  0.800,2924831822.170,3212335367.812
    9,  0.900,2935133548.576,3215434083.601
   10,  1.000,2940311673.037,3234152652.005
   11,  1.100,2978850163.837,3288391976.324
   12,  1.200,3033060357.901,3332222592.469
   13,  1.300,3075976622.578,3396739130.435
   14,  1.400,3188775510.204,3519887363.604
   15,  1.500,3437607425.232,3803727653.100
   16,  1.600,3871467286.101,4301075268.817
   17,  1.700,4257130693.912,4657661853.749
   18,  1.800,4642525533.890,5099439061.703
   19,  1.900,4916420845.624,5376344086.022
   20,  2.000,5175983436.853,5665722379.603
   21,  2.100,5336179295.624,5948839976.205
   22,  2.200,5402485143.166,5970149253.731
   23,  2.300,5376344086.022,5963029218.843
   24,  2.400,5988023952.096,6618133686.300
   25,  2.500,7122507122.507,7974481658.692
   26,  2.600,8547008547.009,9505703422.053
   27,  2.700,9328358208.955,10416666666.667
   28,  2.800,10070493454.179,11389521640.091
   29,  2.900,12224938875.306,13333333333.333
   30,  3.000,13495276653.171,14684287812.041
   31,  3.100,14513788098.694,16313213703.100
   32,  3.200,16393442622.951,17391304347.826
   33,  3.300,16835016835.017,18214936247.723
   34,  3.400,17761989342.806,18939393939.394
   35,  3.500,18656716417.910,19841269841.270
   36,  3.600,19047619047.619,21097046413.502
   37,  3.700,20533880903.491,21978021978.022
   38,  3.800,20661157024.793,22123893805.310
   39,  3.900,22271714922.049,23364485981.308
   40,  4.000,21413276231.263,23255813953.488
   41,  4.100,22075055187.638,23148148148.148
   42,  4.200,22471910112.360,24096385542.169
   43,  4.300,23419203747.073,24390243902.439
   44,  4.400,21321961620.469,23529411764.706
   45,  4.500,20964360587.002,22522522522.523
   46,  4.400,20408163265.306,21786492374.728
   47,  4.300,20833333333.333,21739130434.783
   48,  4.200,19762845849.802,20920502092.050
   49,  4.100,19120458891.013,20533880903.491
   50,  4.000,19569471624.266,20161290322.581
   51,  3.900,19157088122.605,20661157024.793
   52,  3.800,18148820326.679,20661157024.793
   53,  3.700,19685039370.079,20746887966.805
   54,  3.600,20366598778.004,21231422505.308
   55,  3.500,20202020202.020,21413276231.263
   56,  3.400,20366598778.004,21186440677.966
   57,  3.300,20120724346.076,21141649048.626
   58,  3.200,20202020202.020,21097046413.502
   59,  3.100,20491803278.689,21834061135.371
   60,  3.000,20576131687.243,22471910112.360
   61,  2.900,20491803278.689,22172949002.217
   62,  2.800,21008403361.345,22172949002.217
   63,  2.700,20576131687.243,22222222222.222
   64,  2.600,20876826722.338,22172949002.217
   65,  2.500,20576131687.243,22321428571.429
   66,  2.400,20746887966.805,22123893805.310
   67,  2.300,20703933747.412,22321428571.429
   68,  2.200,21141649048.626,22522522522.523
   69,  2.100,21321961620.469,22573363431.151
   70,  2.000,21459227467.811,22522522522.523
   71,  1.900,21097046413.502,22624434389.140
   72,  1.800,20964360587.002,22988505747.126
   73,  1.700,21186440677.966,23094688221.709
   74,  1.600,21505376344.086,22779043280.182
   75,  1.500,20920502092.050,23094688221.709
   76,  1.400,21459227467.811,22883295194.508
   77,  1.300,21321961620.469,22727272727.273
   78,  1.200,21367521367.521,22779043280.182
   79,  1.100,21459227467.811,23094688221.709
   80,  1.000,21551724137.931,22779043280.182
   81,  0.900,21691973969.631,22883295194.508
   82,  0.800,21321961620.469,22935779816.514
   83,  0.700,21367521367.521,22883295194.508
   84,  0.600,21459227467.811,22935779816.514
   85,  0.500,21645021645.022,23201856148.492
   86,  0.400,21551724137.931,23255813953.488
   87,  0.300,21834061135.371,23148148148.148
   88,  0.200,21551724137.931,23148148148.148
   89,  0.100,21834061135.371,22727272727.273
   90,  0.000,21459227467.811,23094688221.709
   91,  0.000,21459227467.811,23041474654.378
   92, -0.100,21505376344.086,22727272727.273
   93, -0.200,21551724137.931,22727272727.273
   94, -0.300,21691973969.631,23310023310.023
   95, -0.400,21691973969.631,22935779816.514
   96, -0.500,21786492374.728,23041474654.378
   97, -0.600,21691973969.631,22779043280.182
   98, -0.700,21834061135.371,22883295194.508
   99, -0.800,21739130434.783,22779043280.182
  100, -0.900,21413276231.263,22573363431.151
  101, -1.000,21551724137.931,22123893805.310
  102, -1.100,20408163265.306,21786492374.728
  103, -1.200,19493177387.914,20703933747.412
  104, -1.300,16528925619.835,17825311942.959
  105, -1.400,12121212121.212,13440860215.054
  106, -1.500,8481764206.955,9451795841.210
  107, -1.600,6329113924.051,7102272727.273
  108, -1.700,5285412262.156,5998800239.952
  109, -1.800,4610419548.179,5162622612.287
  110, -1.900,4224757076.468,4716981132.075
  111, -2.000,3918495297.806,4391743522.178
  112, -2.100,3795066413.662,4239084357.779
  113, -2.200,3479471120.390,3926187671.771
  114, -2.300,3327787021.631,3738317757.009
  115, -2.400,3124023742.580,3517411185.368
  116, -2.500,2940311673.037,3316749585.406
  117, -2.600,2872737719.046,3258390355.165
  118, -2.700,2811357885.859,3190810465.858
  119, -2.800,2754062241.807,3100775193.798
  120, -2.900,2735978112.175,3060912151.821
  121, -3.000,2709292874.560,3041362530.414
  122, -3.100,2658160552.897,3014772384.685
  123, -3.200,2673796791.444,2973535533.750
  124, -3.300,2661698163.428,2945508100.147
  125, -3.400,2629503023.928,2881014116.969
  126, -3.500,2622606871.230,2891844997.108
  127, -3.600,2632964718.273,2888503755.055
  128, -3.700,2594033722.438,2820874471.086
  129, -3.800,2569373072.970,2840909090.909
  130, -3.900,2647603918.454,2887669650.592
  131, -4.000,2637826431.021,2920560747.664
  132, -3.900,2674511901.578,2885170225.043
  133, -3.800,2670226969.292,2935995302.408
  134, -3.700,2684563758.389,2949852507.375
  135, -3.600,2663825253.063,2929973630.237
  136, -3.500,2698327037.237,2978850163.837
  137, -3.400,2734481815.696,3003905076.600
  138, -3.300,2713704206.242,3001200480.192
  139, -3.200,2699784017.279,3003003003.003
  140, -3.100,2701242571.583,3023888720.895
  141, -3.000,2724795640.327,3012955709.551
  142, -2.900,2704895861.509,2994011976.048
  143, -2.800,2700513097.489,2997601918.465
  144, -2.700,2699784017.279,3017501508.751
  145, -2.600,2706359945.873,3010234798.314
  146, -2.500,2711496746.204,3022061045.633
  147, -2.400,2711496746.204,3031221582.298
  148, -2.300,2710761724.044,3027550711.474
  149, -2.200,2688172043.011,3009328919.651
  150, -2.100,2693239967.681,3004807692.308
  151, -2.000,2700513097.489,3018412315.122
  152, -1.900,2691790040.377,3003905076.600
  153, -1.800,2695417789.757,2993115833.583
  154, -1.700,2699784017.279,3001200480.192
  155, -1.600,2704164413.196,2996703626.011
  156, -1.500,2692514808.831,2979737783.075
  157, -1.400,2692514808.831,2978850163.837
  158, -1.300,2691790040.377,2991325157.045
  159, -1.200,2691065662.002,2985965959.988
  160, -1.100,2693965517.241,2994011976.048
  161, -1.000,2694691457.828,3000300030.003
  162, -0.900,2687449610.320,3000300030.003
  163, -0.800,2693965517.241,2999400119.976
  164, -0.700,2696144513.346,2998500749.625
  165, -0.600,2680246582.686,2991325157.045
  166, -0.500,2688172043.011,2991325157.045
  167, -0.400,2699784017.279,3005710850.616
  168, -0.300,2687449610.320,2998500749.625
  169, -0.200,2694691457.828,3012955709.551
  170, -0.100,2710761724.044,3010234798.314
  171,  0.000,2706359945.873,2999400119.976
