Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	11:03:32
Device ID	LBE247_ID294YR
N	4
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,1764913519.238,2186748305.270
    1,  0.100,1769598301.186,2186270223.000
    2,  0.200,1770538243.626,2191540653.079
    3,  0.300,1824817518.248,2260397830.018
    4,  0.400,1897893338.394,2339181286.550
    5,  0.500,1948558067.030,2410800385.728
    6,  0.600,2026342451.874,2529724260.056
    7,  0.700,2351834430.856,2902757619.739
    8,  0.800,2498126405.196,3113325031.133
    9,  0.900,2668089647.812,3299241174.530
   10,  1.000,2813731007.316,3512469265.894
   11,  1.100,2992220227.409,3735524841.240
   12,  1.200,3127932436.659,3894080996.885
   13,  1.300,3197953309.882,3998400639.744
   14,  1.400,3129890453.834,3900156006.240
   15,  1.500,2948982601.003,3735524841.240
   16,  1.600,2678093197.643,3374957813.027
   17,  1.700,2467308166.790,3117206982.544
   18,  1.800,2180549498.474,2767017155.506
   19,  1.900,1998401278.977,2548419979.613
   20,  2.000,1824484583.105,2327205026.763
   21,  2.100,1664170411.050,2132650885.050
   22,  2.200,1551349674.217,1991635132.444
   23,  2.300,1428775539.363,1834862385.321
   24,  2.400,1357773251.867,1744287458.573
   25,  2.500,1298532658.096,1672520488.376
   26,  2.600,1264222503.161,1614987080.103
   27,  2.700,1246727340.731,1596424010.217
   28,  2.800,1249375312.344,1603334936.668
   29,  2.900,1264222503.161,1611343860.780
   30,  3.000,1304121022.431,1672520488.376
   31,  3.100,1336005344.021,1720282126.269
   32,  3.200,1378359751.895,1751620248.730
   33,  3.300,1397624039.133,1780309773.901
   34,  3.400,1367801942.279,1738525730.181
   35,  3.500,1281722635.222,1636661211.129
   36,  3.600,1134044000.907,1424704373.842
   37,  3.700,971817298.348,1220405174.518
   38,  3.800,820344544.709,1019679820.536
   39,  3.900,688041832.943,859475719.811
   40,  4.000,583090379.009,721292556.261
   41,  0.000,653167864.141,788332676.389
   42, -0.100,659065445.199,794344268.806
   43, -0.200,662163951.794,798148295.953
   44, -0.300,663042036.865,798785845.515
   45, -0.400,651890482.399,786720163.638
   46, -0.500,624102852.150,758150113.723
   47, -0.600,586992251.702,711490572.750
   48, -0.700,534273654.966,651763018.966
   49, -0.800,407497962.510,496302546.032
   50, -0.900,245422863.594,292483182.217
   51, -1.000,189760522.221,225958062.184
   52, -1.100,161613549.680,190407281.174
   53, -1.200,143839360.203,167954316.426
   54, -1.300,129572281.897,151151014.979
   55, -1.400,119512865.560,138602059.627
   56, -1.500,111258219.201,128004915.389
   57, -1.600,103661317.743,118992372.589
   58, -1.700,97939355.951,111793048.708
   59, -1.800,93190565.387,106050161.726
   60, -1.900,89741633.836,101721121.374
   61, -2.000,87459987.056,99086423.178
   62, -2.100,85745644.121,96824167.312
   63, -2.200,84178627.047,95009168.385
   64, -2.300,83565925.158,93923170.846
   65, -2.400,82478308.205,93019794.612
   66, -2.500,82199662.981,92268797.461
   67,  0.000,83164232.727,93414292.387
   68,  0.100,83323612.245,93576882.767
   69,  0.200,83440415.200,93593523.328
   70,  0.300,83696716.578,93957587.545
   71,  0.400,84357574.888,94819984.260
   72,  0.500,85383242.685,96192693.203
   73,  0.600,87042807.653,98244373.054
   74,  0.700,89424641.854,101284284.730
   75,  0.800,93240962.620,105830184.885
   76,  0.900,98115206.876,111579746.044
   77,  1.000,105391846.887,120774405.488
   78,  1.100,114213922.677,131302521.008
   79,  1.200,127129417.747,146629715.978
   80,  1.300,139697972.982,161446561.188
   81,  1.400,156235352.936,180534743.911
   82,  1.500,181445394.009,212481142.299
   83,  1.600,206334468.173,243557893.711
   84,  1.700,243457090.688,287860905.610
   85,  1.800,291885580.852,348577802.566
   86,  1.900,355593485.527,428082191.781
   87,  2.000,429682464.659,518752917.985
   88,  2.100,512190124.974,623324814.561
   89,  2.200,600961538.462,737028301.887
   90,  2.300,688989940.747,838644750.084
   91,  2.400,760282825.211,934492103.542
   92,  2.500,833958802.435,1023751023.751
   93,  2.600,875426770.551,1084951719.648
   94,  2.700,922764602.750,1142334932.602
   95,  2.800,954927425.516,1184132622.854
   96,  2.900,976562500.000,1212415130.941
   97,  3.000,1007049345.418,1241002730.206
   98,  3.100,1028700750.952,1268230818.009
   99,  3.200,1022285831.118,1279590531.030
  100,  3.300,997108385.682,1247038284.075
  101,  3.400,989902989.507,1225039813.794
  102,  3.500,960984047.665,1198178768.272
  103,  3.600,889284126.278,1108156028.369
  104,  3.700,825832025.766,1034340091.022
  105,  3.800,758380100.106,951655881.233
  106,  3.900,673582109.659,833472245.374
  107,  4.000,599736116.109,746491489.997
  108,  0.000,682221312.594,832292967.124
  109, -0.100,688231245.699,839278220.730
  110, -0.200,694782185.785,844665934.623
  111, -0.300,693000693.001,844095551.616
  112, -0.400,678748387.973,823587547.356
  113, -0.500,654236179.261,798722044.728
  114, -0.600,620270437.911,764642911.760
  115, -0.700,561450788.838,698324022.346
  116, -0.800,401590297.578,491738788.356
  117, -0.900,230160191.493,274363476.734
  118, -1.000,169067424.089,199151614.124
  119, -1.100,142549642.913,166226167.323
  120, -1.200,125300721.732,145662180.272
  121, -1.300,112933098.432,130741171.702
  122, -1.400,103729059.696,119408688.176
  123, -1.500,95992320.614,109871999.121
  124, -1.600,89565606.807,102339480.525
  125, -1.700,84371809.691,95827663.530
  126, -1.800,79918802.497,90420000.904
  127, -1.900,77238566.761,87054931.662
  128, -2.000,75265499.048,84533712.044
  129, -2.100,73676765.295,82808191.386
  130, -2.200,73109569.312,81972588.366
  131, -2.300,72645381.570,81306762.283
  132, -2.400,72053896.314,80569789.552
  133, -2.500,71764840.969,80080721.367
  134,  0.000,72373563.385,80843357.910
  135,  0.100,72398714.199,80914004.596
  136,  0.200,72541566.317,81024801.692
  137,  0.300,72720397.344,81229489.554
  138,  0.400,73093537.800,81746764.872
  139,  0.500,73727826.356,82619364.327
  140,  0.600,74601812.824,83642112.131
  141,  0.700,75935910.092,85250038.363
  142,  0.800,78065231.307,87952294.675
  143,  0.900,81504906.595,92070857.732
  144,  1.000,87035989.382,98576554.552
  145,  1.100,93191433.843,106023176.666
  146,  1.200,101442512.528,115835929.989
  147,  1.300,111295366.774,127520116.298
  148,  1.400,122841068.226,141548827.268
  149,  1.500,134508036.855,155867637.202
  150,  1.600,149191382.706,173211161.727
  151,  1.700,169442702.950,198558465.540
  152,  1.800,198267145.151,232915637.956
  153,  1.900,236200014.172,279353018.409
  154,  2.000,287084086.929,341821910.784
  155,  2.100,361389180.008,432806751.785
  156,  2.200,460045084.418,558004575.638
  157,  2.300,555308751.666,677093912.926
  158,  2.400,669030574.697,820277253.712
  159,  2.500,760456273.764,933968431.867
  160,  2.600,846740050.804,1043405676.127
  161,  2.700,894694461.841,1111852346.008
  162,  2.800,960799385.088,1195743154.370
  163,  2.900,986679822.398,1225640397.107
  164,  3.000,1020512297.173,1266464032.421
  165,  3.100,1045369015.262,1288659793.814
  166,  3.200,1043296817.945,1291322314.050
  167,  3.300,1042535446.205,1292156609.381
  168,  3.400,1012863364.732,1257703433.530
  169,  3.500,970214417.386,1219066195.294
  170,  3.600,923190546.529,1151410477.835
  171,  3.700,853825136.612,1067008109.262
  172,  3.800,      -1.000,      -1.000
