Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	16:19:05
Device ID	LBE247_ID180ZR1000Star
N	2
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,40160642570.281,35971223021.583
    1,  0.100,40322580645.161,35971223021.583
    2,  0.200,40322580645.161,35587188612.100
    3,  0.300,41666666666.667,37313432835.821
    4,  0.400,46728971962.617,40485829959.514
    5,  0.500,50505050505.051,42372881355.932
    6,  0.600,55865921787.709,45871559633.028
    7,  0.700,63291139240.506,51020408163.265
    8,  0.800,72992700729.927,52631578947.368
    9,  0.900,72463768115.942,55865921787.709
   10,  1.000,86206896551.724,59880239520.958
   11,  1.100,101010101010.101,63694267515.924
   12,  1.200,103092783505.155,69930069930.070
   13,  1.300,112359550561.798,70921985815.603
   14,  1.400,119047619047.619,72463768115.942
   15,  1.500,136986301369.863,76335877862.595
   16,  1.600,142857142857.143,83333333333.333
   17,  1.700,166666666666.667,83333333333.333
   18,  1.800,175438596491.228,84745762711.864
   19,  1.900,161290322580.645,86956521739.130
   20,  2.000,153846153846.154,82644628099.174
   21,  2.100,149253731343.284,82644628099.174
   22,  2.200,142857142857.143,80000000000.000
   23,  2.300,112359550561.798,74626865671.642
   24,  2.400,121951219512.195,80000000000.000
   25,  2.500,138888888888.889,71428571428.571
   26,  2.600,117647058823.529,71428571428.571
   27,  2.700,119047619047.619,75757575757.576
   28,  2.800,114942528735.632,72463768115.942
   29,  2.900,112359550561.798,73529411764.706
   30,  3.000,128205128205.128,78740157480.315
   31,  2.900,119047619047.619,84745762711.864
   32,  2.800,121951219512.195,82644628099.174
   33,  2.700,135135135135.135,84033613445.378
   34,  2.600,131578947368.421,77519379844.961
   35,  2.500,126582278481.013,80645161290.323
   36,  2.400,138888888888.889,78740157480.315
   37,  2.300,129870129870.130,78125000000.000
   38,  2.200,121951219512.195,80645161290.323
   39,  2.100,131578947368.421,78740157480.315
   40,  2.000,131578947368.421,83333333333.333
   41,  1.900,125000000000.000,81300813008.130
   42,  1.800,123456790123.457,82644628099.174
   43,  1.700,133333333333.333,84033613445.378
   44,  1.600,129870129870.130,81967213114.754
   45,  1.500,129870129870.130,80645161290.323
   46,  1.400,131578947368.421,78740157480.315
   47,  1.300,136986301369.863,82644628099.174
   48,  1.200,131578947368.421,82644628099.174
   49,  1.100,131578947368.421,78740157480.315
   50,  1.000,135135135135.135,79365079365.079
   51,  0.900,135135135135.135,78125000000.000
   52,  0.800,126582278481.013,80000000000.000
   53,  0.700,142857142857.143,80000000000.000
   54,  0.600,142857142857.143,78125000000.000
   55,  0.500,129870129870.130,81300813008.130
   56,  0.400,138888888888.889,80645161290.323
   57,  0.300,120481927710.843,74074074074.074
   58,  0.200,129870129870.130,80000000000.000
   59,  0.100,147058823529.412,76923076923.077
   60,  0.000,138888888888.889,81967213114.754
   61,  0.000,142857142857.143,82644628099.174
   62, -0.100,144927536231.884,86956521739.130
   63, -0.200,129870129870.130,86206896551.724
   64, -0.300,129870129870.130,82644628099.174
   65, -0.400,111111111111.111,71428571428.571
