Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	16:26:40
Device ID	LBE247_ID180XR1000Star
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,2.500000,0.000000,-2.000000,0.100000,0.000000020,0.000000020,0.000500000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,1,2,0,0.000000,5e-4s-2p5V-m2V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,26178010471.204,26455026455.026
    1,  0.100,26954177897.574,26881720430.108
    2,  0.200,26809651474.531,26737967914.439
    3,  0.300,28328611898.017,27777777777.778
    4,  0.400,30303030303.030,30211480362.538
    5,  0.500,33557046979.866,33333333333.333
    6,  0.600,37313432835.821,36496350364.964
    7,  0.700,40650406504.065,38759689922.481
    8,  0.800,44642857142.857,41322314049.587
    9,  0.900,48076923076.923,42918454935.622
   10,  1.000,51282051282.051,45045045045.045
   11,  1.100,54347826086.957,47619047619.048
   12,  1.200,55865921787.709,47846889952.153
   13,  1.300,59171597633.136,50251256281.407
   14,  1.400,60975609756.098,53763440860.215
   15,  1.500,75187969924.812,58823529411.765
   16,  1.600,80000000000.000,64102564102.564
   17,  1.700,82644628099.174,65789473684.211
   18,  1.800,82644628099.174,64935064935.065
   19,  1.900,90090090090.090,69930069930.070
   20,  2.000,86206896551.724,46296296296.296
   21,  2.100,80000000000.000,70921985815.603
   22,  2.200,96153846153.846,61349693251.534
   23,  2.300,64516129032.258,53763440860.215
   24,  2.400,81967213114.754,63291139240.506
   25,  2.500,79365079365.079,63694267515.924
   26,  2.400,76923076923.077,61349693251.534
   27,  2.300,77519379844.961,63291139240.506
   28,  2.200,76923076923.077,61728395061.728
   29,  2.100,71942446043.165,60975609756.098
   30,  2.000,70921985815.603,60240963855.422
   31,  1.900,74074074074.074,61349693251.534
   32,  1.800,73529411764.706,60606060606.061
   33,  1.700,67567567567.568,58479532163.743
   34,  1.600,75187969924.812,59523809523.810
   35,  1.500,71428571428.571,61728395061.728
   36,  1.400,70921985815.603,64935064935.065
   37,  1.300,76923076923.077,62893081761.006
   38,  1.200,74074074074.074,62893081761.006
   39,  1.100,71942446043.165,63694267515.924
   40,  1.000,76335877862.595,63694267515.924
   41,  0.900,75187969924.812,62893081761.006
   42,  0.800,75187969924.812,64102564102.564
   43,  0.700,72463768115.942,64102564102.564
   44,  0.600,71942446043.165,63694267515.924
   45,  0.500,72992700729.927,64102564102.564
   46,  0.400,76923076923.077,63291139240.506
   47,  0.300,75757575757.576,63694267515.924
   48,  0.200,79365079365.079,62111801242.236
   49,  0.100,76335877862.595,63291139240.506
   50,  0.000,76923076923.077,62893081761.006
   51,  0.000,78125000000.000,65359477124.183
   52, -0.100,71942446043.165,62500000000.000
   53, -0.200,74074074074.074,65789473684.211
   54, -0.300,72463768115.942,62500000000.000
   55, -0.400,73529411764.706,62500000000.000
   56, -0.500,67114093959.732,56818181818.182
   57, -0.600,48543689320.388,44052863436.123
   58, -0.700,38314176245.211,36496350364.964
   59, -0.800,27247956403.270,27855153203.343
   60, -0.900,25445292620.865,26246719160.105
   61, -1.000,24271844660.194,24509803921.569
   62, -1.100,23364485981.308,23980815347.722
   63, -1.200,21834061135.371,23201856148.492
   64, -1.300,21276595744.681,23041474654.378
   65, -1.400,21367521367.521,22421524663.677
   66, -1.500,21505376344.086,22371364653.244
   67, -1.600,21881838074.398,22675736961.451
   68, -1.700,20449897750.511,22075055187.638
   69, -1.800,19841269841.270,21367521367.521
   70, -1.900,20449897750.511,21459227467.811
   71, -2.000,20242914979.757,21321961620.469
   72, -1.900,19920318725.100,21231422505.308
   73, -1.800,19880715705.765,20964360587.002
   74, -1.700,19607843137.255,21186440677.966
   75, -1.600,20040080160.321,21052631578.947
   76, -1.500,19607843137.255,20833333333.333
   77, -1.400,19607843137.255,20746887966.805
   78, -1.300,19762845849.802,20964360587.002
   79, -1.200,19531250000.000,21097046413.502
   80, -1.100,19762845849.802,20964360587.002
   81, -1.000,19960079840.319,21052631578.947
   82, -0.900,19723865877.712,21052631578.947
   83, -0.800,19379844961.240,20833333333.333
   84, -0.700,19960079840.319,20790020790.021
   85, -0.600,19880715705.765,21008403361.345
   86, -0.500,19920318725.100,20790020790.021
   87, -0.400,19960079840.319,20618556701.031
   88, -0.300,20491803278.689,20876826722.338
   89, -0.200,20366598778.004,21052631578.947
   90, -0.100,20202020202.020,21097046413.502
   91,  0.000,20080321285.141,21231422505.308
