Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	15:32:12
Device ID	LBE247_ID301XR1000Oct
N	2
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,3012955709.551,3315649867.374
    1,  0.100,3015681544.029,3302509907.530
    2,  0.200,3003905076.600,3302509907.530
    3,  0.300,3009328919.651,3303600925.008
    4,  0.400,3005710850.616,3302509907.530
    5,  0.500,3009328919.651,3297065611.606
    6,  0.600,3008423586.041,3298153034.301
    7,  0.700,3003003003.003,3297065611.606
    8,  0.800,3021148036.254,3297065611.606
    9,  0.900,3032140691.328,3307972213.033
   10,  1.000,3044140030.441,3334444814.938
   11,  1.100,3046922608.166,3344481605.351
   12,  1.200,3102699348.433,3408316291.752
   13,  1.300,3176620076.239,3475842891.901
   14,  1.400,3148614609.572,3471017007.983
   15,  1.500,3653635367.190,4006410256.410
   16,  1.600,4128819157.721,4528985507.246
   17,  1.700,4411116012.351,4875670404.681
   18,  1.800,4878048780.488,5305039787.798
   19,  1.900,5045408678.103,5509641873.278
   20,  2.000,5173305742.369,5665722379.603
   21,  2.100,5260389268.806,5817335660.268
   22,  2.200,5681818181.818,6053268765.133
   23,  2.300,5740528128.588,6207324643.079
   24,  2.400,6180469715.698,6693440428.380
   25,  2.500,6285355122.564,6958942240.779
   26,  2.600,7849293563.579,8547008547.009
   27,  2.700,9049773755.656,9861932938.856
   28,  2.800,10309278350.515,11299435028.249
   29,  2.900,12594458438.287,13736263736.264
   30,  3.000,14534883720.930,15552099533.437
   31,  3.100,16891891891.892,18018018018.018
   32,  3.200,17921146953.405,19493177387.914
   33,  3.300,18181818181.818,19723865877.712
   34,  3.400,20080321285.141,21276595744.681
   35,  3.500,21834061135.371,22522522522.523
   36,  3.600,21834061135.371,23474178403.756
   37,  3.700,23041474654.378,24271844660.194
   38,  3.800,23419203747.073,24390243902.439
   39,  3.900,23923444976.077,25000000000.000
   40,  4.000,24937655860.349,26178010471.204
   41,  3.900,24630541871.921,26178010471.204
   42,  3.800,22779043280.182,25252525252.525
   43,  3.700,24691358024.691,26246719160.105
   44,  3.600,24691358024.691,26385224274.406
   45,  3.500,23809523809.524,25510204081.633
   46,  3.400,24390243902.439,26041666666.667
   47,  3.300,25706940874.036,26178010471.204
   48,  3.200,24752475247.525,26881720430.108
   49,  3.100,25188916876.574,26809651474.531
   50,  3.000,24330900243.309,26881720430.108
   51,  2.900,24213075060.533,26315789473.684
   52,  2.800,24449877750.611,26315789473.684
   53,  2.700,25062656641.604,26525198938.992
   54,  2.600,24330900243.309,25773195876.289
   55,  2.500,24390243902.439,26246719160.105
   56,  2.400,24630541871.921,26954177897.574
   57,  2.300,24875621890.547,27027027027.027
   58,  2.200,25510204081.633,26809651474.531
   59,  2.100,25641025641.026,26525198938.992
   60,  2.000,25252525252.525,26737967914.439
   61,  1.900,25510204081.633,26737967914.439
   62,  1.800,25974025974.026,27247956403.270
   63,  1.700,25706940874.036,27472527472.527
   64,  1.600,25906735751.295,27100271002.710
   65,  1.500,25575447570.332,27173913043.478
   66,  1.400,25839793281.654,27548209366.391
   67,  1.300,25445292620.865,27322404371.585
   68,  1.200,26178010471.204,27247956403.270
   69,  1.100,25974025974.026,27548209366.391
   70,  1.000,26178010471.204,27472527472.527
   71,  0.900,26109660574.413,27472527472.527
   72,  0.800,26109660574.413,27932960893.855
   73,  0.700,26525198938.992,27624309392.265
   74,  0.600,26455026455.026,27548209366.391
   75,  0.500,26246719160.105,27700831024.931
   76,  0.400,26109660574.413,27777777777.778
   77,  0.300,26178010471.204,28089887640.449
   78,  0.200,26455026455.026,28248587570.621
   79,  0.100,26246719160.105,27777777777.778
   80,  0.000,26315789473.684,27700831024.931
   81,  0.000,25839793281.654,27322404371.585
   82, -0.100,26385224274.406,27397260273.973
   83, -0.200,26385224274.406,27624309392.265
   84, -0.300,26525198938.992,27322404371.585
   85, -0.400,26666666666.667,28328611898.017
   86, -0.500,26246719160.105,27548209366.391
   87, -0.600,27548209366.391,27173913043.478
   88, -0.700,25000000000.000,28735632183.908
   89, -0.800,26455026455.026,25062656641.604
   90, -0.900,24570024570.025,25906735751.295
   91, -1.000,23255813953.488,24271844660.194
   92, -1.100,19960079840.319,21786492374.728
   93, -1.200,14184397163.121,15503875968.992
   94, -1.300,8688097306.690,9643201542.912
   95, -1.400,5727376861.397,6468305304.010
   96, -1.500,4576659038.902,5130836326.321
   97, -1.600,4003202562.050,4460303300.624
   98, -1.700,4071661237.785,4537205081.670
   99, -1.800,3435245620.062,3888024883.359
  100, -1.900,3290556103.982,3717472118.959
  101, -2.000,3165558721.114,3548616039.744
  102, -2.100,3042287800.426,3457814661.134
  103, -2.200,2973535533.750,3357958361.316
  104, -2.300,2904443799.012,3291639236.340
  105, -2.400,2847380410.023,3224766204.450
  106, -2.500,2831257078.143,3208213025.345
  107, -2.600,2814522938.362,3160556257.901
  108, -2.700,2790178571.429,3131850923.896
  109, -2.800,2803476310.625,3113325031.133
  110, -2.900,2755580049.600,3090234857.849
  111, -3.000,2745744096.650,3091190108.192
  112, -3.100,2722570106.180,3061849357.012
  113, -3.200,2754820936.639,3060912151.821
  114, -3.300,2756339581.036,3056234718.826
  115, -3.400,2751031636.864,3065603923.973
  116, -3.500,2736726874.658,3032140691.328
  117, -3.600,2767783005.812,3035822707.954
  118, -3.700,2732240437.158,3016591251.885
  119, -3.800,2768549280.177,3073140749.846
  120, -3.900,2755580049.600,3054367745.877
  121, -4.000,2816108138.553,3123048094.941
  122, -3.900,2836074872.377,3149606299.213
  123, -3.800,2828854314.003,3171582619.727
  124, -3.700,2846569883.291,3212335367.812
  125, -3.600,2885170225.043,3200000000.000
  126, -3.500,2889338341.520,3187759005.419
  127, -3.400,2857142857.143,3214400514.304
  128, -3.300,2897710808.461,3212335367.812
  129, -3.200,2834467120.181,3146633102.580
  130, -3.100,2834467120.181,3183699458.771
  131, -3.000,2843332385.556,3182686187.142
  132, -2.900,2876042565.430,3205128205.128
  133, -2.800,2871088142.406,3173595683.910
  134, -2.700,2877697841.727,3215434083.601
  135, -2.600,2868617326.449,3216468317.787
  136, -2.500,2898550724.638,3219575016.098
  137, -2.400,2902757619.739,3221649484.536
  138, -2.300,2921413964.359,3237293622.532
  139, -2.200,2916302128.901,3216468317.787
  140, -2.100,2920560747.664,3220611916.264
  141, -2.000,2907822041.291,3214400514.304
  142, -1.900,2917152858.810,3214400514.304
  143, -1.800,2918855808.523,3227888960.620
  144, -1.700,2921413964.359,3222687721.560
  145, -1.600,2916302128.901,3234152652.005
  146, -1.500,2918855808.523,3219575016.098
  147, -1.400,2918855808.523,3225806451.613
  148, -1.300,2922267679.719,3216468317.787
  149, -1.200,2926543751.829,3214400514.304
  150, -1.100,2920560747.664,3223726627.982
  151, -1.000,2918004085.206,3221649484.536
  152, -0.900,2935133548.576,3238341968.912
  153, -0.800,2929973630.237,3219575016.098
  154, -0.700,2929973630.237,3231017770.598
  155, -0.600,2929115407.147,3233107015.842
  156, -0.500,2931691586.045,3225806451.613
  157, -0.400,2930832356.389,3224766204.450
  158, -0.300,2922267679.719,3225806451.613
  159, -0.200,2926543751.829,3213367609.254
  160, -0.100,2932551319.648,3220611916.264
  161,  0.000,2932551319.648,3223726627.982
  162,  0.000,2929115407.147,3225806451.613
  163,  0.100,2927400468.384,3214400514.304
  164,  0.200,2934272300.469,3226847370.119
  165,  0.300,2929973630.237,3213367609.254
  166,  0.400,2924831822.170,3215434083.601
  167,  0.500,2929115407.147,3211303789.338
  168,  0.600,2923121894.183,3221649484.536
  169,  0.700,2933411557.642,3215434083.601
  170,  0.800,2931691586.045,3245699448.231
  171,  0.900,2955082742.317,3272251308.901
  172,  1.000,2993115833.583,3288391976.324
  173,  1.100,3015681544.029,3343363423.604
  174,  1.200,3094059405.941,3430531732.419
  175,  1.300,3204101249.599,3563791874.555
  176,  1.400,3400204012.241,3760812335.464
  177,  1.500,3900156006.240,4302925989.673
  178,  1.600,4366812227.074,4780114722.753
  179,  1.700,4719207173.195,5205622071.838
  180,  1.800,5002501250.625,5602240896.359
  181,  1.900,5144032921.811,5733944954.128
  182,  2.000,5473453749.316,6108735491.753
  183,  2.100,5567928730.512,6222775357.810
  184,  2.200,6079027355.623,6720430107.527
  185,  2.300,6127450980.392,6821282401.091
  186,  2.400,7067137809.187,7867820613.690
  187,  2.500,8196721311.475,9082652134.423
  188,  2.600,9514747859.182,10582010582.011
  189,  2.700,11210762331.839,12531328320.802
  190,  2.800,12919896640.827,14641288433.382
  191,  2.900,15197568389.058,16638935108.153
  192,  3.000,17006802721.088,18621973929.236
  193,  3.100,17543859649.123,19305019305.019
  194,  3.200,18248175182.482,19841269841.270
  195,  3.300,20040080160.321,22222222222.222
  196,  3.400,20202020202.020,21551724137.931
  197,  3.500,21645021645.022,23255813953.488
  198,  3.600,21786492374.728,23529411764.706
  199,  3.700,22421524663.677,24271844660.194
  200,  3.800,23310023310.023,25706940874.036
  201,  3.900,23364485981.308,25445292620.865
  202,  4.000,25000000000.000,26246719160.105
  203,  3.900,24813895781.638,26109660574.413
  204,  3.800,25125628140.704,26041666666.667
  205,  3.700,24449877750.611,24570024570.025
  206,  3.600,24213075060.533,25773195876.289
  207,  3.500,24390243902.439,25510204081.633
  208,  3.400,24449877750.611,25839793281.654
  209,  3.300,24570024570.025,25252525252.525
  210,  3.200,25445292620.865,25773195876.289
  211,  3.100,25188916876.574,26315789473.684
  212,  3.000,24630541871.921,25839793281.654
  213,  2.900,24449877750.611,25706940874.036
  214,  2.800,24691358024.691,25974025974.026
  215,  2.700,25510204081.633,26737967914.439
  216,  2.600,24390243902.439,25445292620.865
  217,  2.500,24752475247.525,25706940874.036
  218,  2.400,25252525252.525,26041666666.667
  219,  2.300,24390243902.439,26178010471.204
  220,  2.200,25380710659.898,26246719160.105
  221,  2.100,25252525252.525,26385224274.406
  222,  2.000,25252525252.525,25906735751.295
  223,  1.900,25125628140.704,25974025974.026
  224,  1.800,25062656641.604,25839793281.654
  225,  1.700,24875621890.547,26385224274.406
  226,  1.600,25062656641.604,26809651474.531
  227,  1.500,25125628140.704,27173913043.478
  228,  1.400,25316455696.203,26881720430.108
  229,  1.300,24330900243.309,27472527472.527
  230,  1.200,25641025641.026,26809651474.531
  231,  1.100,25906735751.295,26525198938.992
  232,  1.000,25575447570.332,26737967914.439
  233,  0.900,25839793281.654,26666666666.667
  234,  0.800,26041666666.667,26954177897.574
  235,  0.700,25839793281.654,26385224274.406
  236,  0.600,26041666666.667,26595744680.851
  237,  0.500,26041666666.667,26809651474.531
  238,  0.400,25906735751.295,26595744680.851
  239,  0.300,26595744680.851,27247956403.270
  240,  0.200,26809651474.531,26881720430.108
  241,  0.100,26246719160.105,27027027027.027
  242,  0.000,25575447570.332,27173913043.478
  243,  0.000,25974025974.026,27027027027.027
  244, -0.100,26666666666.667,27397260273.973
  245, -0.200,26385224274.406,27322404371.585
  246, -0.300,26525198938.992,26737967914.439
  247, -0.400,26385224274.406,27100271002.710
  248, -0.500,26666666666.667,27100271002.710
  249, -0.600,25974025974.026,27397260273.973
  250, -0.700,25445292620.865,26954177897.574
  251, -0.800,25380710659.898,26246719160.105
  252, -0.900,24509803921.569,25575447570.332
  253, -1.000,22831050228.311,24271844660.194
  254, -1.100,19762845849.802,21459227467.811
  255, -1.200,10482180293.501,11918951132.300
  256, -1.300,7656967840.735,8733624454.148
  257, -1.400,5882352941.176,6640106241.700
  258, -1.500,4531037607.612,5128205128.205
  259, -1.600,3910833007.431,4424778761.062
  260, -1.700,3694126339.121,4123711340.206
  261, -1.800,3498950314.906,3909304143.862
  262, -1.900,3392130257.802,3795066413.662
  263, -2.000,3213367609.254,3612716763.006
  264, -2.100,3125976867.771,3481894150.418
  265, -2.200,3045994517.210,3378378378.378
  266, -2.300,2945508100.147,3286230693.395
  267, -2.400,2895193977.997,3215434083.601
  268, -2.500,2854695974.879,3185727938.834
  269, -2.600,2837684449.489,3175611305.176
  270, -2.700,2838489923.361,3164556962.025
  271, -2.800,2804262478.968,3113325031.133
  272, -2.900,2757859900.717,3079765937.789
  273, -3.000,2780094523.214,3087372645.878
  274, -3.100,2803476310.625,3100775193.798
  275, -3.200,2766251728.907,3087372645.878
  276, -3.300,2737476047.085,3052503052.503
  277, -3.400,2708559046.587,3018412315.122
  278, -3.500,2764722145.424,3067484662.577
  279, -3.600,2747252747.253,3056234718.826
  280, -3.700,2780867630.701,3072196620.584
  281, -3.800,2782415136.338,3080714725.816
  282, -3.900,2800336040.325,3103662321.539
  283, -4.000,2812148481.440,3100775193.798
  284, -3.900,2824060999.718,3099814011.159
  285, -3.800,2867794665.902,3114294612.270
  286, -3.700,2880184331.797,3113325031.133
  287, -3.600,2840102243.681,3119151590.767
  288, -3.500,2864508736.752,3136762860.728
  289, -3.400,2881844380.403,3150598613.737
  290, -3.300,2879355024.475,3149606299.213
  291, -3.200,2875215641.173,3135779241.141
  292, -3.100,2879355024.475,3157562361.857
  293, -3.000,2866972477.064,3125976867.771
  294, -2.900,2854695974.879,3154574132.492
  295, -2.800,2873563218.391,3157562361.857
  296, -2.700,2861230329.041,3144654088.050
  297, -2.600,2857142857.143,3151591553.735
  298, -2.500,2866150759.530,3162555344.719
  299, -2.400,2866972477.064,3172588832.487
  300, -2.300,2839295854.628,3155569580.309
  301, -2.200,2871912693.854,3160556257.901
  302, -2.100,2866150759.530,3158559696.778
  303, -2.000,2857959416.976,3164556962.025
  304, -1.900,2857142857.143,3159557661.927
  305, -1.800,2865329512.894,3164556962.025
  306, -1.700,2867794665.902,3164556962.025
  307, -1.600,2862868594.332,3165558721.114
  308, -1.500,2865329512.894,3160556257.901
  309, -1.400,2862868594.332,3168567807.351
  310, -1.300,2864508736.752,3169572107.765
  311, -1.200,2877697841.727,3172588832.487
  312, -1.100,2873563218.391,3166561114.630
  313, -1.000,2871088142.406,3166561114.630
  314, -0.900,2883506343.714,3170577045.022
  315, -0.800,2889338341.520,3178639542.276
  316, -0.700,2896032435.563,3183699458.771
  317, -0.600,2896032435.563,3177629488.402
  318, -0.500,2882675122.514,3167564143.174
  319, -0.400,2880184331.797,3185727938.834
  320, -0.300,2889338341.520,3174603174.603
  321, -0.200,2885170225.043,3172588832.487
  322, -0.100,2886836027.714,3177629488.402
  323,  0.000,2890173410.405,3177629488.402
