Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	15:35:56
Device ID	LBE247_ID301XR1000Oct
Count	1
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,4.000000,0.000000,-4.000000,0.100000,0.000000020,0.000000020,0.000000500,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,1,2,0,0.000000,5e-7s-4V-m4V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,2929115407.147,3225806451.613
    1,  0.100,2927400468.384,3214400514.304
    2,  0.200,2934272300.469,3226847370.119
    3,  0.300,2929973630.237,3213367609.254
    4,  0.400,2924831822.170,3215434083.601
    5,  0.500,2929115407.147,3211303789.338
    6,  0.600,2923121894.183,3221649484.536
    7,  0.700,2933411557.642,3215434083.601
    8,  0.800,2931691586.045,3245699448.231
    9,  0.900,2955082742.317,3272251308.901
   10,  1.000,2993115833.583,3288391976.324
   11,  1.100,3015681544.029,3343363423.604
   12,  1.200,3094059405.941,3430531732.419
   13,  1.300,3204101249.599,3563791874.555
   14,  1.400,3400204012.241,3760812335.464
   15,  1.500,3900156006.240,4302925989.673
   16,  1.600,4366812227.074,4780114722.753
   17,  1.700,4719207173.195,5205622071.838
   18,  1.800,5002501250.625,5602240896.359
   19,  1.900,5144032921.811,5733944954.128
   20,  2.000,5473453749.316,6108735491.753
   21,  2.100,5567928730.512,6222775357.810
   22,  2.200,6079027355.623,6720430107.527
   23,  2.300,6127450980.392,6821282401.091
   24,  2.400,7067137809.187,7867820613.690
   25,  2.500,8196721311.475,9082652134.423
   26,  2.600,9514747859.182,10582010582.011
   27,  2.700,11210762331.839,12531328320.802
   28,  2.800,12919896640.827,14641288433.382
   29,  2.900,15197568389.058,16638935108.153
   30,  3.000,17006802721.088,18621973929.236
   31,  3.100,17543859649.123,19305019305.019
   32,  3.200,18248175182.482,19841269841.270
   33,  3.300,20040080160.321,22222222222.222
   34,  3.400,20202020202.020,21551724137.931
   35,  3.500,21645021645.022,23255813953.488
   36,  3.600,21786492374.728,23529411764.706
   37,  3.700,22421524663.677,24271844660.194
   38,  3.800,23310023310.023,25706940874.036
   39,  3.900,23364485981.308,25445292620.865
   40,  4.000,25000000000.000,26246719160.105
   41,  3.900,24813895781.638,26109660574.413
   42,  3.800,25125628140.704,26041666666.667
   43,  3.700,24449877750.611,24570024570.025
   44,  3.600,24213075060.533,25773195876.289
   45,  3.500,24390243902.439,25510204081.633
   46,  3.400,24449877750.611,25839793281.654
   47,  3.300,24570024570.025,25252525252.525
   48,  3.200,25445292620.865,25773195876.289
   49,  3.100,25188916876.574,26315789473.684
   50,  3.000,24630541871.921,25839793281.654
   51,  2.900,24449877750.611,25706940874.036
   52,  2.800,24691358024.691,25974025974.026
   53,  2.700,25510204081.633,26737967914.439
   54,  2.600,24390243902.439,25445292620.865
   55,  2.500,24752475247.525,25706940874.036
   56,  2.400,25252525252.525,26041666666.667
   57,  2.300,24390243902.439,26178010471.204
   58,  2.200,25380710659.898,26246719160.105
   59,  2.100,25252525252.525,26385224274.406
   60,  2.000,25252525252.525,25906735751.295
   61,  1.900,25125628140.704,25974025974.026
   62,  1.800,25062656641.604,25839793281.654
   63,  1.700,24875621890.547,26385224274.406
   64,  1.600,25062656641.604,26809651474.531
   65,  1.500,25125628140.704,27173913043.478
   66,  1.400,25316455696.203,26881720430.108
   67,  1.300,24330900243.309,27472527472.527
   68,  1.200,25641025641.026,26809651474.531
   69,  1.100,25906735751.295,26525198938.992
   70,  1.000,25575447570.332,26737967914.439
   71,  0.900,25839793281.654,26666666666.667
   72,  0.800,26041666666.667,26954177897.574
   73,  0.700,25839793281.654,26385224274.406
   74,  0.600,26041666666.667,26595744680.851
   75,  0.500,26041666666.667,26809651474.531
   76,  0.400,25906735751.295,26595744680.851
   77,  0.300,26595744680.851,27247956403.270
   78,  0.200,26809651474.531,26881720430.108
   79,  0.100,26246719160.105,27027027027.027
   80,  0.000,25575447570.332,27173913043.478
   81,  0.000,25974025974.026,27027027027.027
   82, -0.100,26666666666.667,27397260273.973
   83, -0.200,26385224274.406,27322404371.585
   84, -0.300,26525198938.992,26737967914.439
   85, -0.400,26385224274.406,27100271002.710
