Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	15:01:54
Device ID	LBE247_ID301XR1000Oct
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,3.500000,0.000000,-3.500000,0.100000,0.000000020,0.000000020,0.000020000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,1,2,0,0.000000,2e-5s-3p5V-m3p5V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,3628447024.673,3980891719.745
    1,  0.100,3645643456.070,3972983710.767
    2,  0.200,3646973012.400,3972983710.767
    3,  0.300,3642987249.545,3969829297.340
    4,  0.400,3642987249.545,3966679888.933
    5,  0.500,3663003663.004,3988831272.437
    6,  0.600,3688675765.400,4024144869.215
    7,  0.700,3734129947.722,4091653027.823
    8,  0.800,3843197540.354,4196391103.651
    9,  0.900,3901677721.420,4249893752.656
   10,  1.000,4037141703.674,4418912947.415
   11,  1.100,4217629692.113,4649000464.900
   12,  1.200,4655493482.309,5107252298.264
   13,  1.300,5488474204.171,6093845216.332
   14,  1.400,6257822277.847,6906077348.066
   15,  1.500,7645259938.838,8417508417.508
   16,  1.600,8841732979.664,9861932938.856
   17,  1.700,10526315789.474,11668611435.239
   18,  1.800,11350737797.957,12406947890.819
   19,  1.900,13422818791.946,14814814814.815
   20,  2.000,15151515151.515,16393442622.951
   21,  2.100,17064846416.382,18248175182.482
   22,  2.200,18691588785.047,19685039370.079
   23,  2.300,19083969465.649,20040080160.321
   24,  2.400,19417475728.155,20790020790.021
   25,  2.500,20449897750.511,21459227467.811
   26,  2.600,21008403361.345,21834061135.371
   27,  2.700,22026431718.062,22522522522.523
   28,  2.800,24096385542.169,25252525252.525
   29,  2.900,25445292620.865,26595744680.851
   30,  3.000,26881720430.108,27932960893.855
   31,  3.100,27397260273.973,28089887640.449
   32,  3.200,28248587570.621,28409090909.091
   33,  3.300,29154518950.437,28653295128.940
   34,  3.400,28818443804.035,29761904761.905
   35,  3.500,29761904761.905,30211480362.538
   36,  3.400,31250000000.000,30487804878.049
   37,  3.300,30211480362.538,30864197530.864
   38,  3.200,31948881789.137,31847133757.962
   39,  3.100,32258064516.129,30395136778.116
   40,  3.000,31645569620.253,30581039755.352
   41,  2.900,31746031746.032,30395136778.116
   42,  2.800,31152647975.078,30487804878.049
   43,  2.700,30581039755.352,30581039755.352
   44,  2.600,31055900621.118,31545741324.921
   45,  2.500,31545741324.921,31746031746.032
   46,  2.400,31055900621.118,31948881789.137
   47,  2.300,31746031746.032,31847133757.962
   48,  2.200,31948881789.137,31347962382.445
   49,  2.100,32679738562.092,31055900621.118
   50,  2.000,31645569620.253,31645569620.253
   51,  1.900,32258064516.129,31152647975.078
   52,  1.800,31948881789.137,31347962382.445
   53,  1.700,31152647975.078,31250000000.000
   54,  1.600,31847133757.962,31055900621.118
   55,  1.500,31446540880.503,31152647975.078
   56,  1.400,32362459546.926,30959752321.981
   57,  1.300,31847133757.962,31152647975.078
   58,  1.200,32573289902.280,31347962382.445
   59,  1.100,32154340836.013,30769230769.231
   60,  1.000,32786885245.902,31152647975.078
   61,  0.900,32362459546.926,31055900621.118
   62,  0.800,32467532467.532,31948881789.137
   63,  0.700,32051282051.282,31250000000.000
   64,  0.600,33003300330.033,31152647975.078
   65,  0.500,33003300330.033,31847133757.962
   66,  0.400,32679738562.092,31746031746.032
   67,  0.300,32679738562.092,31847133757.962
   68,  0.200,32679738562.092,32051282051.282
   69,  0.100,32467532467.532,31545741324.921
   70,  0.000,32786885245.902,31250000000.000
   71,  0.000,33557046979.866,31446540880.503
   72, -0.100,32679738562.092,31645569620.253
   73, -0.200,33003300330.033,31948881789.137
   74, -0.300,32467532467.532,31645569620.253
   75, -0.400,32362459546.926,31347962382.445
   76, -0.500,32051282051.282,30959752321.981
   77, -0.600,30120481927.711,29498525073.746
   78, -0.700,26525198938.992,26525198938.992
   79, -0.800,19762845849.802,20576131687.243
   80, -0.900,11441647597.254,12376237623.762
   81, -1.000,7158196134.574,8045052292.840
   82, -1.100,5497526113.249,6169031462.060
   83, -1.200,5243838489.775,5810575246.949
   84, -1.300,4755111745.126,5376344086.022
   85, -1.400,4629629629.630,5141388174.807
   86, -1.500,4380201489.269,4916420845.624
   87, -1.600,4244482173.175,4775549188.157
   88, -1.700,4120313143.799,4614674665.436
   89, -1.800,4051863857.374,4526935264.826
   90, -1.900,3941663381.947,4438526409.232
   91, -2.000,3979307600.478,4416961130.742
   92, -2.100,3843197540.354,4301075268.817
   93, -2.200,3790750568.613,4257130693.912
   94, -2.300,3755163349.606,4185851820.846
   95, -2.400,3734129947.722,4139072847.682
   96, -2.500,3694126339.121,4074979625.102
   97, -2.600,3637686431.430,4038772213.247
   98, -2.700,3652300949.598,4048582995.951
   99, -2.800,3604902667.628,4000000000.000
  100, -2.900,3590664272.890,3985651654.045
  101, -3.000,3556187766.714,3957261574.990
  102, -3.100,3498950314.906,3926187671.771
  103, -3.200,3498950314.906,3898635477.583
  104, -3.300,3490401396.161,3880481179.666
  105, -3.400,3449465332.873,3831417624.521
  106, -3.500,3486750348.675,3828483920.368
  107, -3.400,3490401396.161,3866976024.749
  108, -3.300,3521126760.563,3869969040.248
  109, -3.200,3501400560.224,3837298541.827
  110, -3.100,3489183531.054,3824091778.203
  111, -3.000,3489183531.054,3827018752.392
  112, -2.900,3513703443.429,3859513701.274
  113, -2.800,3496503496.503,3852080123.267
  114, -2.700,3497726477.789,3866976024.749
  115, -2.600,3502626970.228,3849114703.618
  116, -2.500,3514938488.576,3856536829.927
  117, -2.400,3502626970.228,3825554705.432
  118, -2.300,3512469265.894,3843197540.354
  119, -2.200,3507541213.609,3840245775.730
  120, -2.100,3526093088.858,3847633705.271
  121, -2.000,3505082369.436,3847633705.271
  122, -1.900,3502626970.228,3853564547.206
  123, -1.800,3485535029.627,3844675124.952
  124, -1.700,3490401396.161,3847633705.271
  125, -1.600,3490401396.161,3840245775.730
  126, -1.500,3506311360.449,3856536829.927
  127, -1.400,3491620111.732,3862495171.881
  128, -1.300,3511235955.056,3856536829.927
  129, -1.200,3511235955.056,3840245775.730
  130, -1.100,3514938488.576,3850596842.511
  131, -1.000,3512469265.894,3852080123.267
  132, -0.900,3518648838.846,3855050115.652
  133, -0.800,3508771929.825,3866976024.749
  134, -0.700,3524850193.867,3865481252.416
  135, -0.600,3511235955.056,3859513701.274
  136, -0.500,3512469265.894,3865481252.416
  137, -0.400,3510003510.004,3855050115.652
  138, -0.300,3521126760.563,3853564547.206
  139, -0.200,3521126760.563,3852080123.267
  140, -0.100,3517411185.368,3855050115.652
  141,  0.000,3516174402.250,3868471953.578
